iter	Passed	Remaining
0	36	3689746
1	80	4048882
2	125	4171447
3	169	4227944
4	216	4338909
5	258	4310800
6	303	4331652
7	344	4304889
8	384	4270419
9	430	4300089
10	473	4303520
11	515	4296682
12	551	4244725
13	594	4248119
14	639	4264386
15	681	4256351
16	728	4285753
17	771	4285227
18	813	4279012
19	854	4272749
20	897	4272641
21	944	4290889
22	996	4331797
23	1037	4322589
24	1081	4326756
25	1127	4335432
26	1169	4330323
27	1211	4323913
28	1254	4325541
29	1297	4323052
30	1342	4328302
31	1385	4327660
32	1425	4319579
33	1467	4316031
34	1513	4321743
35	1555	4319668
36	1597	4315661
37	1645	4329465
38	1690	4332187
39	1732	4328772
40	1776	4331692
41	1820	4332852
42	1862	4328900
43	1903	4325062
44	1950	4333190
45	2002	4352194
46	2046	4352083
47	2090	4352138
48	2134	4354892
49	2178	4354378
50	2221	4354047
51	2261	4347321
52	2309	4354622
53	2352	4354592
54	2397	4356438
55	2442	4359242
56	2487	4361144
57	2537	4373141
58	2583	4376029
59	2630	4381896
60	2678	4387932
61	2721	4386468
62	2766	4388315
63	2812	4391555
64	2858	4395165
65	2913	4411440
66	2964	4421013
67	3016	4433068
68	3060	4432376
69	3101	4427539
70	3141	4421495
71	3183	4418038
72	3226	4416715
73	3264	4408607
74	3304	4402630
75	3342	4394914
76	3382	4389038
77	3421	4382895
78	3459	4375471
79	3500	4372603
80	3537	4363848
81	3574	4354993
82	3612	4348305
83	3647	4338681
84	3689	4336517
85	3725	4328246
86	3764	4323446
87	3802	4317246
88	3840	4311526
89	3877	4304756
90	3914	4297924
91	3950	4290496
92	3990	4286564
93	4038	4292582
94	4087	4298858
95	4133	4302096
96	4180	4305925
97	4226	4308759
98	4275	4314354
99	4318	4313756
100	4373	4325366
101	4414	4323246
102	4460	4326341
103	4505	4327809
104	4557	4335884
105	4614	4348427
106	4661	4351432
107	4712	4358427
108	4753	4356192
109	4800	4359253
110	4843	4358629
111	4888	4359403
112	4937	4364629
113	4988	4370473
114	5036	4374757
115	5079	4373563
116	5122	4372801
117	5165	4372031
118	5209	4372530
119	5251	4371112
120	5293	4369173
121	5335	4368004
122	5374	4364383
123	5413	4360253
124	5455	4358764
125	5498	4358616
126	5542	4358695
127	5583	4356914
128	5624	4354557
129	5672	4357494
130	5722	4362285
131	5763	4360859
132	5809	4362251
133	5854	4363003
134	5900	4364504
135	5941	4363123
136	5984	4362540
137	6028	4362212
138	6073	4363267
139	6115	4361750
140	6157	4360608
141	6196	4357424
142	6233	4353115
143	6274	4350836
144	6311	4346596
145	6351	4344117
146	6393	4343114
147	6435	4342060
148	6477	4340732
149	6518	4339115
150	6555	4335089
151	6593	4331122
152	6629	4326697
153	6666	4322191
154	6707	4320523
155	6762	4328431
156	6803	4326734
157	6847	4327201
158	6886	4324417
159	6925	4321412
160	6966	4319948
161	7003	4316390
162	7041	4313051
163	7082	4311789
164	7122	4309323
165	7159	4305931
166	7196	4302047
167	7236	4300118
168	7274	4296898
169	7315	4295874
170	7352	4292174
171	7389	4288663
172	7425	4284827
173	7463	4282096
174	7500	4278564
175	7540	4276827
176	7582	4276563
177	7623	4275159
178	7667	4275586
179	7711	4276449
180	7749	4273845
181	7789	4271919
182	7827	4269275
183	7870	4269699
184	7908	4267062
185	7951	4267157
186	7990	4265026
187	8036	4266819
188	8074	4263903
189	8112	4261508
190	8151	4259616
191	8188	4256526
192	8226	4254445
193	8263	4251241
194	8301	4248981
195	8340	4247158
196	8382	4246650
